,feature,importance
9,pain_severity,0.11879626131134186
1,protein,0.07210658858193934
0,calories,0.0701137326203325
6,bowel_frequency,0.06960173387010797
3,fiber,0.06883929053081309
11,sleep_hours,0.06862946162579478
10,dosage_level,0.06633958917562371
2,carbs,0.06513108950502607
8,urgency_level,0.049633436082364715
12,stress_level,0.04792948304188363
13,fatigue_level,0.04263029574530969
5,hydration_level,0.03583680181747232
7,bristol_scale,0.029662968386283003
21,blood_present_True,0.027788557065960166
4,meals_per_day,0.023164709802755853
30,has_allergens_True,0.00992742510251006
22,medication_taken_True,0.009724964542360399
29,menstruation_True,0.008573030487562769
15,pain_location_lower_abdomen,0.008012026395847891
33,region_southwest,0.007589924617553268
31,region_northeast,0.007585939250923363
34,region_west,0.007572437485798221
19,pain_time_morning,0.007431847282165745
16,pain_location_right_side,0.0072159675554390465
32,region_southeast,0.007166877306726874
20,pain_time_night,0.007141164159398958
18,pain_time_evening,0.006982544203032541
14,pain_location_left_side,0.006843307719624607
17,pain_location_upper_abdomen,0.006561614178653127
25,medication_type_infliximab,0.006410744732108174
23,medication_type_azathioprine,0.006150435587768869
28,medication_type_prednisone,0.005972644554160971
26,medication_type_mercaptopurine,0.005878196058131012
24,medication_type_budesonide,0.005654347455638095
27,medication_type_mesalamine,0.005400562161587579
